Date,Open,High,Low,Close,AdjClose,Volume
10/22/2018,2773.94,2778.94,2749.22,2755.88,2755.88,3331270000
10/23/2018,2721.03,2753.59,2691.43,2740.69,2740.69,4373710000
10/24/2018,2737.87,2742.59,2651.89,2656.1,2656.1,4738670000
10/25/2018,2674.88,2722.7,2667.84,2705.57,2705.57,4663930000
10/26/2018,2667.86,2692.38,2628.16,2658.69,2658.69,4804330000
10/29/2018,2682.65,2706.85,2603.54,2641.25,2641.25,4701260000
10/30/2018,2640.68,2685.43,2635.34,2682.63,2682.63,5125600000
10/31/2018,2705.6,2736.69,2705.6,2711.74,2711.74,5133380000
11/1/2018,2717.58,2741.67,2708.85,2740.37,2740.37,4730250000
11/2/2018,2745.45,2756.55,2700.44,2723.06,2723.06,4261230000
11/5/2018,2726.37,2744.27,2717.94,2738.31,2738.31,3650910000
11/6/2018,2738.4,2756.82,2737.08,2755.45,2755.45,3543800000
11/7/2018,2774.13,2815.15,2774.13,2813.89,2813.89,3929080000
11/8/2018,2806.38,2814.75,2794.99,2806.83,2806.83,3673550000
11/9/2018,2794.1,2794.1,2764.24,2781.01,2781.01,4029030000
11/12/2018,2773.93,2775.99,2722,2726.22,2726.22,3701570000
11/13/2018,2730.05,2754.6,2714.98,2722.18,2722.18,4112820000
11/14/2018,2737.9,2746.8,2685.75,2701.58,2701.58,4449060000
11/15/2018,2693.52,2735.38,2670.75,2730.2,2730.2,4204960000
11/16/2018,2718.54,2746.75,2712.16,2736.27,2736.27,3996970000
11/19/2018,2730.74,2733.16,2681.09,2690.73,2690.73,3806940000
11/20/2018,2654.6,2669.44,2631.52,2641.89,2641.89,4370820000
11/21/2018,2657.74,2670.73,2649.82,2649.93,2649.93,3237400000
11/23/2018,2633.36,2647.55,2631.09,2632.56,2632.56,1651680000
11/26/2018,2649.97,2674.35,2649.97,2673.45,2673.45,3523520000
11/27/2018,2663.75,2682.53,2655.89,2682.17,2682.17,3494380000
11/28/2018,2691.45,2744,2684.38,2743.79,2743.79,3984540000
11/29/2018,2736.97,2753.75,2722.94,2737.8,2737.8,3599200000
11/30/2018,2737.76,2760.88,2732.76,2760.17,2760.17,4668310000
12/3/2018,2790.5,2800.18,2773.38,2790.37,2790.37,4221580000
12/4/2018,2782.43,2785.93,2697.18,2700.06,2700.06,4515710000
12/6/2018,2663.51,2696.15,2621.53,2695.95,2695.95,5180430000
12/7/2018,2691.26,2708.54,2623.14,2633.08,2633.08,4242240000
12/10/2018,2630.86,2647.51,2583.23,2637.72,2637.72,4162880000
12/11/2018,2664.44,2674.35,2621.3,2636.78,2636.78,3963440000
12/12/2018,2658.23,2685.44,2650.26,2651.07,2651.07,4029300000
12/13/2018,2658.7,2670.19,2637.27,2650.54,2650.54,3978340000
12/14/2018,2629.68,2635.07,2593.84,2599.95,2599.95,4064370000
12/17/2018,2590.75,2601.13,2530.54,2545.94,2545.94,4661420000
12/18/2018,2559.9,2573.99,2528.71,2546.16,2546.16,4519190000
12/19/2018,2547.05,2585.29,2488.96,2506.96,2506.96,5152830000
12/20/2018,2496.77,2509.63,2441.18,2467.42,2467.42,5619780000
12/21/2018,2465.38,2504.41,2408.55,2416.62,2416.62,7657890000
12/24/2018,2400.56,2410.34,2351.1,2351.1,2351.1,2613670000
12/26/2018,2363.12,2467.76,2346.58,2467.7,2467.7,4249740000
12/27/2018,2442.5,2489.1,2397.94,2488.83,2488.83,4139010000
12/28/2018,2498.77,2520.27,2472.89,2485.74,2485.74,3728440000
12/31/2018,2498.94,2509.24,2482.82,2506.85,2506.85,3461920000
1/2/2019,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000
1/3/2019,2491.92,2493.14,2443.96,2447.89,2447.89,3858830000
1/4/2019,2474.33,2538.07,2474.33,2531.94,2531.94,4234140000
1/7/2019,2535.61,2566.16,2524.56,2549.69,2549.69,4133120000
1/8/2019,2568.11,2579.82,2547.56,2574.41,2574.41,4120060000
