,U.S. National,20-City Composite,CA-San Francisco,CA-Los Angeles,WA-Seattle,CA-San Diego,NY-New York,IL-Chicago,TX-Dallas,MA-Boston,CO-Denver,AZ-Phoenix,FL-Miami,GA-Atlanta,10-City Composite,DC-Washington,NV-Las Vegas,FL-Tampa,OR-Portland,NC-Charlotte,MI-Detroit,MN-Minneapolis,OH-Cleveland
01-04-2008,168.337,172.4427996,166.7367006,205.1001238,180.7608857,182.1842258,197.1753627,153.9314309,121.4761752,160.9532898,130.1904473,163.9207273,202.9095855,125.6018181,185.9196299,203.7336515,167.2565905,180.8908438,177.0050827,132.7722525,96.26807079,144.6314827,111.2722545
01-05-2008,166.658,169.5605676,162.5590716,199.4328166,178.4216475,178.5043862,195.8388615,152.0084553,121.3005771,160.5768784,130.123144,158.5402426,194.5105017,124.627262,182.5503684,199.8656908,162.1340295,178.0676591,175.6268471,132.8901722,94.58748811,143.4109667,108.9709991
01-06-2008,165.016,167.1777185,158.5011756,195.1337058,176.6100011,174.3504807,194.8384874,149.9598253,120.7379523,160.5468991,130.184767,153.2311465,190.7690712,123.0790875,179.9860847,196.175481,159.1905202,174.9350141,173.8596823,131.9288082,93.3634591,141.8665257,108.2958744
01-07-2008,163.564,164.3996262,154.1048631,190.6764124,174.2167515,169.8608715,192.563889,147.5458433,120.8118019,159.6737964,130.2333209,147.9988967,186.2167005,121.9394889,176.760986,192.7131835,154.2710314,173.1432741,171.7357756,131.1681283,92.30116971,140.9068812,107.2176258
01-08-2008,161.986,162.1158447,148.1588934,186.649896,172.5327999,165.7384359,191.0699851,145.9388085,120.542163,159.4917878,129.6117456,142.9870791,182.0138033,121.0956733,174.0090115,190.4385463,149.6927858,172.3187498,169.2621679,129.9705701,90.41559732,138.4063941,107.7171621
01-09-2008,160.307,159.114701,142.834275,181.8459025,170.3006569,161.8918619,189.6564108,144.2138805,120.3335214,158.2205048,128.750486,138.2661127,177.4289052,120.120641,170.7697529,186.8378264,145.3407269,168.7099708,167.3327474,128.9093081,87.78420671,136.417174,107.995993
01-10-2008,158.326,156.2967683,137.5864824,178.0676718,168.5241589,157.9386876,187.8084204,142.3473766,119.6818219,157.4360172,127.6934752,133.3956157,172.4313685,118.6830424,167.8028311,182.8723217,141.1223059,164.0199008,164.5994317,127.5320951,84.55853693,132.5810813,107.5536225
01-11-2008,156.141,153.6593271,134.6826681,174.9512253,165.5521088,155.1521961,185.5059685,139.526598,118.3625065,154.8426148,127.327547,129.1728035,168.4888357,116.6991061,165.060525,179.5599579,137.1261665,159.8724942,161.7102072,125.8765351,82.51648445,130.6154173,107.097082
01-12-2008,153.618,150.7277631,130.633467,171.4444379,161.0682009,152.9086026,183.3145675,136.7113665,116.5770025,153.9982937,126.4870964,123.4327751,164.2686634,113.9786865,162.2654696,176.3630898,131.2225187,155.7497489,158.6430668,123.517953,80.24520277,125.2870858,105.5761905
01-01-2009,151.506,147.7156745,126.6566563,167.8311727,157.1619616,150.1777066,181.570056,132.1828108,114.7727547,152.6767233,124.4556573,117.875618,158.7975414,111.4528895,159.2635758,174.1839121,126.0552104,150.5255769,155.9432617,122.5642533,77.69049828,121.4471461,104.6707273
01-02-2009,150.014,145.6128694,123.9736902,165.545493,155.7937316,149.1504375,179.3378072,129.4030511,114.89597,151.9101948,123.1274089,113.5078842,154.7589123,109.4008386,157.0889703,171.4287378,121.9685908,147.4916775,154.0315359,121.2444016,75.44486248,119.4327755,100.5961652
01-03-2009,148.659,142.7198832,121.0884406,163.7399733,152.2617717,146.5772239,176.1883718,127.3362358,114.7902083,149.6721428,123.3148962,108.7078736,150.4286729,108.0696742,154.396538,169.8844479,117.8092255,144.1042419,150.9994409,120.9418965,73.13809344,113.753407,99.89666364
01-04-2009,147.947,141.5598055,120.1698056,161.5452135,150.466217,145.7137749,173.3965303,125.8630294,115.3318883,148.7906452,123.7383611,106.1326615,147.9133686,107.3084233,152.8675381,169.5742455,113.4640729,142.434086,148.8619991,119.5663641,72.20204915,113.2081372,99.66133447
01-05-2009,147.693,140.8418348,119.8664562,159.8367818,148.5585589,145.3899905,172.8617917,125.7993037,116.1155525,149.1640665,124.0233232,104.2678202,145.6728925,106.132666,152.088155,170.0301571,110.2295369,140.9831516,146.9668472,119.4904608,71.66878899,112.6176757,102.1337879
01-06-2009,148.088,141.2908298,123.3417746,160.3114898,147.850413,146.4679876,172.2488402,124.5197515,117.8156655,150.8411253,125.2740669,104.6550426,145.9454147,105.8539603,152.727063,171.7671882,107.5692537,140.3912371,147.3336741,119.0751117,69.90491213,113.7748976,104.7535243
01-07-2009,148.408,142.2498241,126.1568368,162.2118671,147.1203448,148.8850969,172.2934695,125.9238403,118.6821146,151.3689318,126.2885298,105.7903359,146.3445688,107.0971039,153.8933548,173.6003739,105.8909951,140.8619475,147.6516433,119.2820286,69.30966006,116.7376256,105.5275376
01-08-2009,148.277,143.4766599,129.2355058,164.2596987,146.9685982,151.0307853,172.3152712,126.6397382,118.922874,152.3921238,127.0283345,107.0511266,147.3233876,107.919326,155.2473885,175.7396783,104.9555522,141.4101896,147.8803918,118.7063848,69.66770376,119.1702157,104.3806887
01-09-2009,148.024,144.072323,131.5578535,165.530023,146.6314853,152.7184782,172.4257213,128.1661392,118.8944366,152.8027788,127.2828908,108.1218735,148.3449955,108.7433492,156.0740399,177.4021664,103.817793,140.3035076,147.5761336,118.4338066,70.60079855,121.0827133,103.9215751
01-10-2009,147.85,144.796069,134.0283923,166.8895033,147.5880167,154.2247121,172.3833497,127.5690272,119.0944987,153.1450006,127.592408,109.3815889,148.3304599,109.1664796,156.8801735,178.0970108,103.5675956,139.057135,148.1492645,118.5928601,71.40490877,121.6127053,103.8925263
01-11-2009,148.136,145.4742,136.1202305,168.919241,147.9618422,155.7838919,171.769306,127.7651015,120.2116269,154.0798317,127.9943539,110.8887809,148.2179144,109.793487,157.5847057,178.5842105,103.5589445,139.0281373,149.6463741,118.9719656,71.60777077,122.1857536,104.5299247
01-12-2009,147.93,146.2475938,137.0294171,171.5861412,148.5730951,157.0438573,171.967584,127.1217449,120.1416585,154.835247,128.0705252,112.1194333,148.1410339,109.8379771,158.4976319,179.7919897,104.2239967,138.8834435,150.2138565,118.9652935,72.07791587,122.7936839,104.3742074
01-01-2010,147.396,146.9320688,138.4954573,174.4412549,148.0472589,159.0699793,172.3595302,126.8386526,119.6197462,154.9783291,127.895121,112.5424532,148.3472069,109.269803,159.45439,179.9712326,104.0721216,139.6628719,149.5802489,118.8002518,72.14069554,123.8525064,105.231588
01-02-2010,145.631,146.9099103,139.2981509,174.4658942,147.4603836,160.5081843,172.4406494,126.2214159,118.0048016,154.7338082,127.7289477,111.6219422,148.3115312,108.7222129,159.7327495,180.4530905,104.1139786,138.9083209,146.8479572,118.2096555,71.56270907,123.2979315,104.6091231
01-03-2010,145.858,146.2284395,140.9322036,173.6703391,146.9889399,162.3780963,172.262691,125.0222575,118.3114459,155.6176311,128.3439852,111.2649643,147.9956437,107.0205172,159.4274867,179.8830033,103.6868243,139.0874512,146.9072088,116.2075688,70.15865627,122.0645233,106.7071084
01-04-2010,146.401,147.0613196,141.7265092,174.0369358,146.2146132,162.7005062,171.9729234,124.2719079,119.2119867,156.0404958,129.0308368,111.6487277,147.2346109,107.6123127,160.0203155,181.9820058,103.7724643,138.9885795,148.3475072,116.837859,70.28659027,124.5073392,106.4279104
01-05-2010,146.392,147.2696023,141.3885381,175.1556888,146.1417046,163.3212864,172.285695,124.0422393,119.409261,156.4111566,128.3006426,111.6052512,147.3039494,107.826112,160.2614408,182.9844472,102.978097,138.7865306,147.8622673,116.0342497,69.96736792,125.7660112,105.7666227
01-06-2010,145.719,147.0399293,140.534545,174.7960831,144.8630819,162.833277,172.5544479,124.0199499,119.0010377,155.7255961,127.3808131,110.7483363,147.2235962,107.5047126,160.164232,183.9403613,101.9455273,137.6957175,147.4536772,115.7584804,70.28182682,125.5982727,105.3948228
01-07-2010,144.987,146.4056393,139.858093,174.2302258,144.365131,162.732326,172.8318743,123.1414942,118.0938027,155.2672328,126.185727,109.3447816,146.553562,106.6495755,159.7381804,183.7401574,100.7064738,136.0381763,145.7357796,115.1380549,70.01127648,123.6517028,104.7395586
01-08-2010,143.912,145.54377,139.1732034,172.9712611,143.2210075,161.539082,171.8605621,122.2454874,116.8379688,154.5061507,125.6454598,107.5429454,145.666445,105.3921376,158.8245831,182.8126994,100.1888542,135.3778918,144.3303803,114.6250171,69.35628219,122.1652921,103.88577
